kappa,omega,psi,delta_x,delta_y,R,logit_R
0.0001,3.064688741883061e-08,0.5235987755982988,0.025,0.014433756729740644,2.264050060796962e-15,-13.815509557963773
0.0007666855561852062,1.8014447048034944e-06,0.5235987755982988,0.025,0.014433756729740644,1.330824209193e-13,-13.815509557963773
0.0014333711123704124,6.296564669590746e-06,0.5235987755982988,0.025,0.014433756729740644,4.651612499383539e-13,-13.815509557963773
0.0021000566685556183,1.3516006781780584e-05,0.5235987755982988,0.025,0.014433756729740644,9.985006818107511e-13,-13.815509557963773
0.0027667422247408245,2.345977104137301e-05,0.5235987755982988,0.025,0.014433756729740644,1.733100861173239e-12,-13.815509557963773
0.0034334277809260306,3.6127857448368026e-05,0.5235987755982988,0.025,0.014433756729740644,2.6689619326065173e-12,-13.815509557963773
0.004100113337111237,5.152026600276563e-05,0.5235987755982988,0.025,0.014433756729740644,3.806084040635247e-12,-13.815509557963773
0.004766798893296444,6.963699670456584e-05,0.5235987755982988,0.025,0.014433756729740644,5.144467329728058e-12,-13.815509557963773
0.0054334844494816495,9.047804955376861e-05,0.5235987755982988,0.025,0.014433756729740644,6.684111944297527e-12,-13.815509557963773
0.006100170005666855,0.00011404342455037395,0.5235987755982988,0.025,0.014433756729740644,8.42501802870021e-12,-13.815509557963773
0.006766855561852062,0.00014033312169438192,0.5235987755982988,0.025,0.014433756729740644,1.0367185727236674e-11,-13.815509557963773
0.0074335411180372684,0.0001693471409857925,0.5235987755982988,0.025,0.014433756729740644,1.2510615184151391e-11,-13.815509557963773
0.008100226674222473,0.00020108548242460557,0.5235987755982988,0.025,0.014433756729740644,1.4855306543632904e-11,-13.815509557963773
0.008766912230407679,0.00023554814601082125,0.5235987755982988,0.025,0.014433756729740644,1.7401259949813685e-11,-13.815509557963773
0.009433597786592886,0.00027273513174443965,0.5235987755982988,0.025,0.014433756729740644,2.0148475546770254e-11,-13.815509557963773
0.010100283342778092,0.00031264643962546047,0.5235987755982988,0.025,0.014433756729740644,2.3096953478523107e-11,-13.815509557963773
0.010766968898963298,0.00035528206965388396,0.5235987755982988,0.025,0.014433756729740644,2.624669388903681e-11,-13.815509557963773
0.011433654455148504,0.00040064202182971,0.5235987755982988,0.025,0.014433756729740644,2.959769692221995e-11,-13.815509557963773
0.01210034001133371,0.00044872629615293864,0.5235987755982988,0.025,0.014433756729740644,3.314996272192504e-11,-13.815509557963773
0.012767025567518917,0.0004995348926235699,0.5235987755982988,0.025,0.014433756729740644,3.690349143194889e-11,-13.815509557963773
0.013433711123704123,0.0005530678112416038,0.5235987755982988,0.025,0.014433756729740644,4.085828319603212e-11,-13.815509557963773
0.014100396679889328,0.0006093250520070401,0.5235987755982988,0.025,0.014433756729740644,4.5014338157859553e-11,-13.815509557963773
0.014767082236074536,0.0006683066149198793,0.5235987755982988,0.025,0.014433756729740644,4.9371656461060204e-11,-13.815509557963773
0.015433767792259741,0.0007300124999801208,0.5235987755982988,0.025,0.014433756729740644,5.393023824920694e-11,-13.815509557963773
0.016100453348444947,0.000794442707187765,0.5235987755982988,0.025,0.014433756729740644,5.869008366581698e-11,-13.815509557963773
0.016767138904630153,0.0008615972365428117,0.5235987755982988,0.025,0.014433756729740644,6.365119285435158e-11,-13.815509557963773
0.01743382446081536,0.000931476088045261,0.5235987755982988,0.025,0.014433756729740644,6.881356595821614e-11,-13.815509557963773
0.018100510017000564,0.0010040792616951128,0.5235987755982988,0.025,0.014433756729740644,7.417720312076015e-11,-13.815509557963773
0.018767195573185774,0.0010794067574923676,0.5235987755982988,0.025,0.014433756729740644,7.974210448527763e-11,-13.815509557963773
0.01943388112937098,0.001157458575437025,0.5235987755982988,0.025,0.014433756729740644,8.550827019500645e-11,-13.815509557963773
0.020100566685556185,0.0012382347155290845,0.5235987755982988,0.025,0.014433756729740644,9.147570039312872e-11,-13.815509557963773
0.02076725224174139,0.0013217351777685467,0.5235987755982988,0.025,0.014433756729740644,9.764439522277099e-11,-13.815509557963773
0.021433937797926596,0.0014079599621554116,0.5235987755982988,0.025,0.014433756729740644,1.0401435482700407e-10,-13.815509557963773
0.022100623354111802,0.001496909068689679,0.5235987755982988,0.025,0.014433756729740644,1.1058557934884267e-10,-13.815509557963773
0.022767308910297008,0.001588582497371349,0.5235987755982988,0.025,0.014433756729740644,1.173580689312463e-10,-13.815509557963773
0.023433994466482214,0.0016829802482004215,0.5235987755982988,0.025,0.014433756729740644,1.2433182371711878e-10,-13.815509557963773
0.02410068002266742,0.0017801023211768967,0.5235987755982988,0.025,0.014433756729740644,1.3150684384930784e-10,-13.815509557963773
0.02476736557885263,0.001879948716300775,0.5235987755982988,0.025,0.014433756729740644,1.3888312947060578e-10,-13.815509557963773
0.025434051135037834,0.0019825194335720553,0.5235987755982988,0.025,0.014433756729740644,1.4646068072374967e-10,-13.815509557963773
0.02610073669122304,0.002087814472990738,0.5235987755982988,0.025,0.014433756729740644,1.5423949775142027e-10,-13.815509557963773
0.026767422247408246,0.002195833834556824,0.5235987755982988,0.025,0.014433756729740644,1.622195806962439e-10,-13.815509557963773
0.02743410780359345,0.002306577518270312,0.5235987755982988,0.025,0.014433756729740644,1.7040092970078996e-10,-13.815509557963773
0.028100793359778657,0.002420045524131203,0.5235987755982988,0.025,0.014433756729740644,1.7878354490757373e-10,-13.815509557963773
0.028767478915963863,0.002536237852139496,0.5235987755982988,0.025,0.014433756729740644,1.8736742645905373e-10,-13.815509557963773
0.029434164472149072,0.0026551545022951923,0.5235987755982988,0.025,0.014433756729740644,1.9615257449763386e-10,-13.815509557963773
0.030100850028334278,0.0027767954745982907,0.5235987755982988,0.025,0.014433756729740644,2.051389891656628e-10,-13.815509557963773
0.030767535584519484,0.002901160769048792,0.5235987755982988,0.025,0.014433756729740644,2.1432667060543309e-10,-13.815509557963773
0.03143422114070469,0.0030282503856466953,0.5235987755982988,0.025,0.014433756729740644,2.2371561895918253e-10,-13.815509557963773
0.0321009066968899,0.0031580643243920023,0.5235987755982988,0.025,0.014433756729740644,2.333058343690934e-10,-13.815509557963773
0.03276759225307511,0.0032906025852847114,0.5235987755982988,0.025,0.014433756729740644,2.4309731697729243e-10,-13.815509557963773
