R_range,count,mean_error_percent,share_error_below_1pct
"$[10^{-4}, 10^{-3}]$",389,0.07622289504936602,100.0
"$(10^{-3}, 10^{-2}]$",166,0.11784956146101654,100.0
"$(10^{-2}, 10^{-1}]$",60,0.5336182252707568,90.0
"$(10^{-1}, 1]$",14,3.9824901874642724,35.714285714285715
