Target,MAE,RMSE,"rMAE, %","rRMSE, %",R2
Re_zeta1,0.0008287003169174951,0.004058820596707256,0.0830682494861498,0.40657422151925243,0.9879290281424882
Im_zeta1,0.0008383658212329677,0.0026973634067641995,3.638836494858159,4.101572991233714,0.9983173103465622
Re_zeta2,0.0013043799697532714,0.005437239213491147,0.1383284483611612,0.5743278499187633,0.9958335031558629
Im_zeta2,0.0023193699192965815,0.00429977851878689,0.8924838407322685,1.3147220425594965,0.9995964164940626
R (all),0.00020320729586288186,0.003455385076066629,3.8843315585356972,7.8481555193167605,0.9937524393617929
R ($R \geq 0.0001$),0.00048456715217676266,0.005336011537956084,3.8960878921786115,7.848157202467067,0.9936274027973112
R ($R \geq 0.001$),0.0012695323044744347,0.008638462672215703,3.9607798690064357,7.848244293082843,0.9932697804415942
R ($R \geq 0.01$),0.004106730094750505,0.01555700781689969,4.261285603335456,7.852041381224689,0.9919236358760317
log1p(R) (all),0.00013001189544380455,0.0020649398386098205,2.8724201858740463,5.942537846209374,0.9964076742047685
